,S.No.,Company,price Rs.,Day High Rs.
0,1,Nirlon,438.50,479.00
1,2,Protean e-Gov Tech.,2190.30,2225.00
2,3,Oil India,740.35,767.30
3,4,HFCL,149.45,152.05
4,5,TCS,4551.85,4580.00
5,6,Bharti Airtel,1588.95,1608.70
6,7,Guj. State Petronet,442.35,447.20
7,8,Globus Spirits,1072.45,1080.50
8,9,BPCL,357.35,365.30
9,10,Balrampur Chini Mill,598.70,625.85
10,11,HPCL,419.25,425.00
11,12,Triveni Engg. & Inds,472.50,483.90
12,13,PNB Housing Finance,976.15,995.00
13,14,Sun Pharma Inds.,1821.40,1827.50
14,15,Orient Technologies,335.60,335.60
15,16,Radico Khaitan,1944.90,1977.20
16,17,Multi Commodity Exch,5170.00,5232.70
17,18,Bajaj Finserv,1782.45,1793.00
18,19,HCL Tech.,1752.15,1766.00
19,20,Persistent Systems,5167.10,5263.95
20,21,CyberTech Sys. &Soft,253.45,264.30
21,22,Allied Blenders,359.15,374.70
22,23,Indus Towers,458.50,460.05
23,24,Allied Digital Serv.,264.90,277.00
24,25,Dalmia Bharat Sugar,467.70,499.20
25,26,KEC International,949.30,968.65
26,27,Jagatjit Inds.,267.80,267.80
27,28,Indian Energy Exch,203.60,208.70
28,29,Cipla,1655.75,1660.50
29,30,Genus Power Infra,455.90,476.00
30,31,India Glycols,1387.50,1399.05
31,32,Vintage Coffee & Bev,106.12,106.80
32,33,E.I.D. Parry (I),826.65,875.45
33,34,Bajaj Auto,10873.85,10916.40
34,35,TVS Motor,2812.20,2820.00
35,36,ICICI Lombard Gen.,2132.40,2198.95
36,37,Go Digit General Ins,382.80,390.00
37,38,Arihant Capital Mkt.,88.75,91.00
38,39,Ajanta Soya,39.69,40.40
39,40,Hazoor Multi Project,467.00,467.00
40,41,Gabriel India,547.70,549.85
41,42,Lupin,2239.80,2255.35
42,43,ZF Steering Gear (I),1787.75,1809.90
43,44,Granules India,717.60,720.95
44,45,Divi''s Lab,5099.00,5130.00
45,46,Fortis Healthcare,551.25,563.00
46,47,Indo Thai Securities,420.00,441.35
47,48,Alkem Laboratories,6156.00,6203.10
48,49,SBI Life Insuran,1848.50,1870.35
49,50,ITCONS E-Solutions,437.70,437.70
50,51,Sundaram Finance,5026.55,5169.20
51,52,Marsons,130.12,130.12
52,53,Crompt.Greaves Cons.,476.75,480.95
53,54,GMR Power and Urban,138.27,140.41
54,55,Syngene Internation.,869.55,879.30
55,56,Magadh Sugar & Energ,901.00,987.85
56,57,Resourceful Auto.,124.00,128.00
57,58,Torrent Pharma,3488.70,3574.00
58,59,Mankind Pharma,2488.00,2505.10
59,60,Apollo Hospital Ent.,6940.00,6989.30
60,61,KCP Sugar&Inds. Corp,55.23,60.32
61,62,Plastiblends India,360.25,366.00
62,63,Oriental Hotels,162.30,165.10
63,64,Safari Industries(I),2469.30,2524.95
64,65,Mawana Sugars,129.15,136.85
65,66,Glenmark Pharma,1732.70,1750.00
66,67,Indraprastha Gas,550.40,560.65
67,68,Bansal Wire Inds.,405.00,415.50
68,69,Gulf Oil Lubricant,1419.80,1469.90
69,70,Glenmark Life Scienc,1051.00,1094.95
70,71,Ram Ratna Wires,598.00,608.15
71,72,United Spirits,1475.35,1484.35
72,73,Arunjyoti Bio Vent,124.41,137.49
73,74,Bella Casa Fashion,631.75,640.00
74,75,Colgate Palmol. (I),3653.50,3696.05
75,76,HOV Services,99.84,99.84
76,77,FDC,540.85,550.10
77,78,Aurobindo Pharma,1574.00,1580.00
78,79,Stove Kraft,841.45,844.00
79,80,Patanjali Foods,1931.30,1955.00
80,81,ICICI Prudential,748.25,754.85
81,82,SH Kelkar & Co,246.00,255.85
82,83,Choice International,450.75,454.85
83,84,Invts & Precisn Cast,847.75,854.90
84,85,Dr. Lal Pathlabs,3422.35,3457.60
85,86,S.V.J. Enterprises,134.80,134.80
86,87,Vantage Knowledge,68.61,68.61
87,88,Artemis Medicare,285.75,289.50
88,89,Shaily Engg. Plastic,1043.00,1059.90
89,90,Kokuyo Camlin,204.65,213.30
90,91,Pfizer,6035.50,6100.00
91,92,Relicab Cable,150.50,152.00
92,93,Power & Inst. (Guj),170.20,170.20
93,94,Padam Cotton Yarns,74.87,74.87
94,95,Abbott India,30123.00,30499.90
95,96,Krishna Inst.Medi,2507.55,2595.00
96,97,Godavari Drugs,134.30,155.00
97,98,Saraswati Commercial,17246.50,17542.85
98,99,Aarey Drugs & Pharma,69.16,72.98
99,100,Cil Securities,67.24,67.96
100,101,Sanco Trans,753.30,876.00
101,102,ABC India,152.45,165.00
102,103,Prime Prop. Dev Corp,42.48,42.48
103,104,7Seas Entertain,84.69,91.61
104,105,Mangalam Cement,1019.20,1056.90
105,106,VLS Finance,377.00,387.30
106,107,Sanjivani Paranteral,315.50,315.50
107,108,Info Edge,7695.00,7720.00
108,109,CCL Products (India),717.25,737.55
109,110,LCC Infotech,8.89,8.89
110,111,Ravinder Heights,65.00,70.00
111,112,Emerald Finance,82.90,83.75
112,113,Garware Marine Inds.,45.90,45.90
113,114,Entero Healthcare,1360.00,1372.45
114,115,Electrotherm India,1000.00,1017.50
115,116,Bhagawati Oxygen,70.97,84.68
116,117,CIAN Agro Industries,121.00,121.00
117,118,SV Global Mill,137.05,137.05
118,119,Rolcon Engg. Co,940.50,940.50
119,120,Source Natural Foods,232.50,232.50
120,121,PBA Infrastructure,20.29,20.79
121,122,Shri Venkatesh Refin,151.00,151.00
122,123,Upsurge Investment,144.37,144.37
123,124,Popees Cares,200.30,200.30
124,125,E-Land Apparel,13.64,13.64
125,126,Jindal Capital,45.28,48.99
126,127,Indong Tea Co,31.00,32.00
127,128,Unique Organics,210.77,210.77
128,129,Gowra Leasing & Fin,67.48,67.48
129,130,Hexa Tradex,338.30,338.30
130,131,Vardhman Polytex,12.37,12.37
131,132,Rajeshwari Cans,350.10,350.10
132,133,Mehai Technology,61.21,61.21
133,134,Coral Laboratories,930.00,940.00
134,135,KKRRAFTON Developers,266.70,266.70
135,136,Eraaya Lifespaces,947.50,947.50
136,137,Sterling Powergensys,70.40,70.40
137,138,Modi Rubber,130.49,130.49
138,139,Trishakti Industries,102.45,102.45
139,140,Genomic Valley,66.20,66.20
140,141,Astal Laboratories,114.90,114.90
141,142,Innovassynth Invest,60.82,60.82
142,143,Lypsa Gems,11.45,12.65
143,144,Triton Valves,4650.00,4773.90
144,145,Terai Tea Co,136.15,145.00
145,146,Future MarketNetwork,11.15,11.15
146,147,Key Corp.,274.35,274.35
147,148,Aayush Art And Bull.,202.00,208.15
148,149,Phoenix Internatl.,70.40,70.82
149,150,Mafia Trends,19.35,20.70
150,151,LS Inds,101.14,101.14
151,152,Quality RO Industry,239.95,239.95
152,153,Garg Furnace,390.05,399.90
153,154,Coral Newsprints,18.91,18.91
154,155,Shree Rajasthan Syn.,23.74,23.74
155,156,Indo-City Infotech,21.36,23.50
156,157,CMX Holdings,87.02,87.02
157,158,Kaycee Inds.,2758.45,2758.45
158,159,21st Cent Mgt,121.92,121.92
159,160,Transvoy Logistics,227.95,227.95
160,161,My Money Securities,27.61,27.61
161,162,Lucent Industries,311.70,311.70
162,163,New Light Apparels,54.74,54.75
163,164,Aayush Wellness,45.60,45.60
164,165,Softsol India,403.00,407.05
165,166,Globe Commercials,31.05,31.59
166,167,Dynemic Products,410.55,410.55
167,168,Cerebra Integ. Tech,13.33,13.33
168,169,Healthy Life Agritec,52.27,52.27
169,170,Kuber Udyog,20.02,20.02
170,171,Prime Securities,309.70,309.70
171,172,Jainex Aamcol,249.80,249.80
172,173,York Exports,69.39,71.22
173,174,Unifinz Capital Ind,346.70,346.70
174,175,Jamshri Realty,278.75,278.75
175,176,Enterprise Internatl,35.64,35.64
176,177,ECS Biztech,17.80,17.87
177,178,Finkurve Financial,117.26,119.99
178,179,Rajkamal Synthetics,43.80,44.90
179,180,Ashika Credit Cap,258.40,258.40
180,181,Hemo Organic,13.59,13.59
181,182,EPIC Energy,35.87,35.87
182,183,TV Vision,12.84,12.84
183,184,S&S Power,425.10,425.10
184,185,Constronics Infra,100.95,100.95
185,186,BITS,9.59,9.59
186,187,Transwarranty Fin.,34.46,35.16
187,188,Kemistar Corporation,100.34,100.34
188,189,Market Creators,15.50,16.22
189,190,Kavveri Telecom Prod,37.26,37.26
190,191,Humming Bird Edu.,1042.90,1042.90
191,192,Flora Textiles,60.88,60.88
192,193,Restile Ceramics,6.92,7.08
193,194,Kumbhat Financial,21.15,23.15
194,195,Sugal & Damani Share,47.00,50.68
